id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0,female,-0.017834015,0.29134938,0.24249436,0.12505706,-0.44056535,-0.12980731,-0.4862843,-0.018673932,-0.091889456
1,female,0.006810202,-0.33600035,0.35078925,0.044685036,-0.2679081,0.36894643,-0.23377746,0.28899267,0.046094142
2,female,-0.0025384407,-0.11566963,0.38578966,0.058000438,-0.27145308,0.35385132,-0.19425113,0.27810794,0.053782962
3,female,0.010138221,-0.2703962,-0.1765808,0.18809265,-0.42055318,0.30238488,-0.39465493,0.43405738,0.6453005
4,female,0.00029675945,-0.40431392,-0.07564018,0.13270116,-0.4129335,0.20914847,-0.37300116,0.3467575,0.3698895
5,female,-0.0024921682,-0.4085602,-0.028815895,0.117375806,-0.4080743,0.17966458,-0.36639765,0.31254923,0.27907515
6,female,0.021543387,-0.05882621,0.58783734,0.036820807,-0.17402188,0.5488424,-0.22892737,0.26382583,0.08705803
7,female,0.0035705057,0.03339972,0.5787081,0.012839709,-0.22356617,0.38749713,-0.23861106,0.20052014,-0.030505719
8,female,-0.031167645,-0.19092326,0.36783427,0.017262882,-0.31587127,0.18529077,-0.22157189,0.15525353,-0.12577823
9,female,0.04188003,0.70028406,0.69096667,0.117273726,-0.20449847,0.44049042,-0.37855065,0.15863386,0.1784636
10,female,-0.008181569,0.04963337,0.56297874,0.0265444,-0.24237917,0.31525832,-0.22489886,0.14717741,-0.11469496
11,female,-0.027560052,-0.15021183,0.4090785,0.013401819,-0.30695346,0.18621157,-0.23186764,0.13945302,-0.15130472
12,female,-0.019539464,-0.0710557,0.49938646,0.015185921,-0.25798714,0.30158776,-0.18392725,0.17585433,-0.11415247
13,female,-0.041963793,-0.6232799,0.13743219,0.016925685,-0.39592522,0.021474417,-0.22765738,0.17278396,-0.22243167
14,female,0.09428334,0.97131205,0.4416006,0.23035851,-0.273013,0.48180875,-0.5928039,0.3205943,0.7072889
15,female,0.064641535,0.63457966,0.35764223,0.18730123,-0.2964893,0.4184971,-0.4912849,0.32800424,0.5669168
16,female,0.07897681,0.5815919,0.62842995,0.12892121,-0.1951831,0.53918076,-0.45129263,0.2815748,0.3643513
17,female,0.054415815,0.31449366,0.29206234,0.16754371,-0.25831485,0.58568347,-0.38759828,0.43167174,0.6733642
