id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0,male,1.3694806,0.2338068,0.055494215,-0.67876154,-0.46795243,-0.21565875,-0.06836245,0.037207916,0.038063273
1,male,1.0912586,-0.2772444,-0.14566848,-0.4099262,-0.7040404,-0.2446602,0.2635915,0.45306787,0.16899242
2,male,1.1926366,-0.13002963,-0.1199312,-0.3384875,-0.58408606,-0.23878919,0.2133659,0.45386672,0.15357877
3,male,0.95527816,-0.012012088,0.14045611,-0.72798645,-0.8535554,-0.14858189,0.6777238,0.70995337,0.07580628
4,male,0.9328891,-0.15760876,0.06717256,-0.75763285,-0.82672316,-0.17841646,0.5369032,0.50397664,0.1106743
5,male,0.94762903,-0.18085368,0.044010602,-0.7513435,-0.8031014,-0.18850552,0.47562248,0.4373236,0.11882511
6,male,1.2880015,-0.15563524,-0.22659026,-0.13559377,-0.64257425,-0.26719648,0.115739144,0.59507924,0.13982156
7,male,1.3278846,-0.09112752,-0.20705494,-0.21954839,-0.5318438,-0.26344478,0.019708289,0.44283533,0.101671
8,male,1.1569432,-0.18654464,-0.12333002,-0.46880054,-0.5500208,-0.2505439,0.087581344,0.23816574,0.14605607
9,male,1.6782234,0.38057163,-0.1324961,-0.030005213,-0.4187696,-0.24456507,-0.10886861,0.59076935,0.006582364
10,male,1.3295285,-0.07568532,-0.181237,-0.2515845,-0.499651,-0.26684186,-0.022189587,0.3355975,0.13293664
11,male,1.1909428,-0.17127909,-0.13774176,-0.44429237,-0.5363962,-0.2552924,0.04710027,0.22779952,0.13943668
12,male,1.2482682,-0.14571114,-0.17197102,-0.3026619,-0.5131796,-0.26227266,0.04268252,0.32697177,0.15054071
13,male,0.89666337,-0.42508915,-0.070332505,-0.76296335,-0.6817106,-0.23957194,0.24577719,0.06607275,0.21197464
14,male,1.7408235,0.70021087,0.030685874,-0.14455485,-0.52483594,-0.17113085,0.15498036,0.9259133,-0.14315563
15,male,1.5508549,0.46939674,0.016104134,-0.25826278,-0.5551872,-0.17939636,0.22217436,0.8006941,-0.07039193
16,male,1.6168627,0.3263734,-0.1382008,-0.06428029,-0.5578915,-0.22748245,0.05373873,0.77508974,-0.030856369
17,male,1.3676736,0.25360298,-0.015940253,-0.22819419,-0.6792589,-0.18272583,0.40331408,0.95074624,-0.0051637064
18,male,1.5478337,0.45262387,0.007636032,-0.2627902,-0.5485502,-0.18671682,0.1761423,0.75687706,-0.065221876
19,male,1.5280123,0.28561163,-0.109976865,-0.08912655,-0.504844,-0.22054656,0.11858299,0.7662882,-0.0026429403
20,male,1.7315444,0.50110865,-0.11240629,0.045288634,-0.50181764,-0.21577111,0.053665232,0.9061988,-0.069449276
21,male,1.4321071,0.3533583,0.039154314,-0.4185688,-0.5471656,-0.182962,0.2096197,0.59990823,-0.030496873
22,male,1.2250396,-0.030175606,-0.066089556,-0.50533235,-0.63819224,-0.22038879,0.18849391,0.40874332,0.06625604
23,male,0.9085689,-0.42716968,-0.09139829,-0.7234395,-0.73698175,-0.23631269,0.29104772,0.18350314,0.18640612
24,male,1.3519669,-0.07223908,-0.212708,-0.19850592,-0.6071947,-0.25472045,0.09226656,0.5596437,0.07983864
25,male,1.2508103,0.067522615,-0.028494248,-0.45164865,-0.63409036,-0.20219307,0.28017542,0.56058156,0.046035107
26,male,1.3272028,-0.07234878,-0.17766958,-0.28757128,-0.5158894,-0.26276052,-0.0155041,0.33543247,0.11278767
27,male,1.2113969,-0.11762421,-0.12323074,-0.440972,-0.48246327,-0.2531316,0.008669389,0.21748577,0.1185635
28,male,1.1219674,-0.1664342,-0.08147707,-0.54923034,-0.59791046,-0.23570865,0.15358202,0.26478705,0.12616977
29,male,1.2136476,-0.13001819,-0.124659695,-0.46629146,-0.52204484,-0.2513911,0.028622765,0.21168369,0.11984575
30,male,1.1722322,-0.14891937,-0.11318915,-0.45040545,-0.5284662,-0.24709344,0.08930545,0.26451153,0.13684341
31,male,1.2276974,-0.11601296,-0.13219509,-0.36952665,-0.5230125,-0.2517984,0.07081777,0.31249875,0.13961554
32,male,0.99033004,-0.29377022,-0.07265041,-0.62641525,-0.6123409,-0.23669529,0.21199709,0.20433787,0.1695809
33,male,1.098411,-0.2541267,-0.11636921,-0.56381106,-0.62442654,-0.24900454,0.119037285,0.19254923,0.15229926
34,male,0.99058026,-0.29417473,-0.074165575,-0.6284112,-0.61127865,-0.23634411,0.21181706,0.2058557,0.16583304
35,male,1.0223786,-0.25562364,-0.069886625,-0.62016344,-0.57611775,-0.23631325,0.179833,0.18388082,0.15791234
36,male,1.0672504,0.046827156,0.1398067,-0.8273636,-0.6452646,-0.17832817,0.33228734,0.23129693,0.09966949
37,male,1.1809188,0.2540771,0.130553,-0.46627218,-0.7810258,-0.13507736,0.6815177,1.0112995,-0.0021186683
38,male,1.4005377,0.40606517,0.089164056,-0.30749112,-0.52309185,-0.18075575,0.26692745,0.71356106,0.02541477
39,male,1.0258597,-0.35359025,-0.13548902,-0.5732671,-0.70361817,-0.24589196,0.22584774,0.26774955,0.1690745
40,male,0.94237006,0.25848454,0.2768197,-0.6287581,-1.0257424,-0.06406799,1.1745857,1.4509051,-0.059071966
41,male,1.6715566,0.25261122,-0.18975517,-0.16287713,-0.39140502,-0.27798906,-0.34236422,0.24000943,0.02335973
42,male,1.9069146,0.5033205,-0.19603707,-0.01165802,-0.2816407,-0.27564943,-0.4708929,0.3140127,-0.051167566
43,male,1.802282,0.45241287,-0.11959818,-0.11113029,-0.34260264,-0.27658707,-0.4268,0.1861029,0.04809625
44,male,1.8475498,0.49924687,-0.12938508,-0.14520942,-0.32247868,-0.26686248,-0.43581522,0.20487241,-0.019057285
45,male,1.0400227,-0.38918456,-0.17857546,-0.47254056,-0.65109754,-0.2581007,0.20032822,0.28153372,0.19659802
46,male,1.3899052,0.051074374,-0.12531692,-0.35967308,-0.53898096,-0.24869566,-0.031383146,0.3198925,0.06806775
47,male,1.3905057,0.050103534,-0.12895331,-0.36446327,-0.53643155,-0.24785282,-0.03181524,0.3235353,0.059072867
48,male,1.1822093,-0.2748377,-0.2152824,-0.34127522,-0.5545716,-0.27185676,0.04552837,0.28833458,0.16058177
